Timeline,olbi1,olbi2,olbi2r,olbi3,olbi3r,olbi4,olbi4r,olbi5,olbi6,olbi6r,olbi7,olbi8,olbi8r,olbi9,olbi9r,olbi10,olbi11,olbi11r,olbi12,olbi12r,olbi13,olbi14,olbi15,olbi16,olbi16r,Gender,Age,Education_level
16328,2,4,1,4,1,3,2,2,4,1,1,4,1,3,2,1,4,1,4,1,4,1,3,2,3,2,1970,4
16328,3,2,3,4,1,1,4,2,2,3,2,3,2,3,2,3,4,1,3,2,4,1,3,2,3,2,1957,5
16328,3,2,3,2,3,2,3,2,1,4,3,2,3,2,3,3,4,1,2,3,3,2,2,3,2,2,1976,5
16328,2,2,3,3,2,2,3,3,4,1,4,1,4,2,3,4,4,1,2,3,4,2,3,3,2,1,1970,2
16329,2,1,4,2,3,1,4,1,2,3,3,1,4,1,4,4,2,3,1,4,3,1,1,2,3,2,1966,5
16329,2,2,3,3,2,2,3,2,3,2,4,2,3,2,3,2,2,3,2,3,4,2,3,3,2,1,1959,6
16329,3,1,4,1,4,1,4,3,1,4,2,1,4,3,2,4,3,2,1,4,4,2,4,3,2,2,1975,5
16329,1,2,3,4,1,2,3,2,4,1,1,4,1,4,1,2,1,4,3,2,2,2,1,1,4,1,1966,2
16329,3,3,2,4,1,3,2,1,3,2,3,3,2,3,2,2,4,1,2,3,4,2,2,2,3,1,1977,5
16329,2,1,4,3,2,2,3,3,4,1,3,1,4,2,3,4,2,3,1,4,4,1,1,2,3,2,1975,3
16329,2,4,1,1,4,3,2,2,4,1,2,2,3,2,3,1,3,2,3,2,4,2,2,2,3,1,1960,2
16329,3,4,1,4,1,3,2,2,4,1,1,3,2,2,3,2,4,1,3,2,3,1,2,1,4,2,1957,5
16329,1,2,3,4,1,4,1,1,4,1,1,4,1,4,1,1,4,1,4,1,4,1,4,1,4,1,1961,5
16329,2,2,3,3,2,2,3,4,2,3,2,2,3,3,2,3,2,3,2,3,4,3,2,2,3,2,1969,5
16329,2,1,4,1,4,2,3,3,4,1,2,2,3,2,3,3,3,2,2,3,2,2,2,2,3,2,1980,5
16329,1,4,1,4,1,3,2,2,4,1,1,4,1,4,1,1,3,2,4,1,4,1,2,2,3,1,1964,5
16329,2,4,1,4,1,3,2,3,3,2,1,4,1,3,2,1,4,1,3,2,3,1,3,1,4,1,1965,4
16329,3,3,2,3,2,4,1,3,3,2,3,2,3,2,3,3,4,1,3,2,4,2,3,2,3,2,1971,2
16329,1,2,3,4,1,2,3,2,4,1,1,3,2,4,1,3,4,1,2,3,1,1,1,1,4,1,1959,5
16329,1,4,1,4,1,2,3,1,4,1,1,1,4,4,1,1,4,1,4,1,2,1,4,1,4,2,1969,2
16329,2,4,1,4,1,4,1,4,4,1,2,3,2,3,2,3,4,1,2,3,4,1,2,2,3,1,1972,6
16329,2,2,3,4,1,2,3,3,4,1,3,3,2,3,2,3,3,2,3,2,4,1,3,3,2,2,1967,2
16329,3,4,1,4,1,3,2,1,4,1,1,4,1,4,1,3,4,1,4,1,4,2,3,2,3,2,1965,2
16329,2,4,1,4,1,4,1,1,4,1,3,4,1,3,2,2,3,2,4,1,3,1,3,2,3,1,1970,2
16329,2,3,2,3,2,3,2,2,3,2,2,3,2,3,2,2,3,2,3,2,2,2,2,2,3,2,1963,5
16329,1,4,1,4,1,4,1,4,4,1,4,4,1,4,1,1,4,1,4,1,1,1,4,1,4,1,1965,2
16329,2,3,2,4,1,4,1,2,4,1,2,4,1,3,2,1,4,1,4,1,4,2,3,2,3,1,1971,2
16329,1,4,1,4,1,2,3,2,4,1,1,2,3,4,1,3,4,1,2,3,2,1,1,1,4,2,1972,6
16330,3,3,2,3,2,3,2,2,3,2,3,3,2,3,2,3,3,2,2,3,4,2,2,2,3,2,1972,5
16330,3,1,4,3,2,3,2,2,2,3,3,3,2,3,2,2,2,3,3,2,1,3,1,4,1,2,1964,5
16330,2,1,4,3,2,2,3,2,3,2,3,3,2,2,3,2,3,2,2,3,4,1,3,2,3,2,1973,2
16330,1,3,2,4,1,3,2,1,4,1,1,4,1,4,1,1,4,1,3,2,3,1,4,1,4,2,1961,5
16330,3,3,2,4,1,2,3,1,2,3,1,4,1,3,2,1,4,1,3,2,3,2,3,1,4,2,1980,4
16330,1,3,2,4,1,4,1,1,4,1,1,4,1,4,1,1,4,1,4,1,3,1,4,1,4,2,1965,3
16330,1,3,2,3,2,2,3,2,3,2,1,4,1,3,2,2,4,1,3,2,3,1,3,1,4,2,1970,4
16330,3,4,1,3,2,4,1,3,4,1,1,4,1,3,2,2,4,1,4,1,4,1,2,1,4,1,1956,5
16330,2,1,4,4,1,2,3,3,1,4,1,1,4,3,2,3,4,1,3,2,1,1,1,2,3,2,1972,5
16330,1,2,3,4,1,3,2,2,4,1,1,4,1,3,2,2,4,1,3,2,4,3,2,2,3,2,1977,4
16330,3,2,3,2,3,2,3,2,2,3,2,3,2,2,3,2,4,1,3,2,4,2,2,2,3,2,1974,2
16330,1,2,3,4,1,4,1,2,4,1,1,2,3,1,4,2,1,4,2,3,2,2,1,2,3,2,1977,4
16330,3,2,3,2,3,1,4,3,2,3,3,1,4,3,2,3,2,3,2,3,4,1,2,3,2,2,1977,6
16330,1,3,2,3,2,2,3,2,3,2,2,2,3,3,2,2,4,1,3,2,4,1,2,1,4,2,1965,5
16331,1,3,2,4,1,2,3,2,3,2,2,2,3,1,4,3,3,2,3,2,4,1,3,2,3,2,1971,4
16331,2,1,4,3,2,2,3,2,3,2,2,3,2,3,2,2,4,1,3,2,3,1,2,2,3,2,1978,5
16331,2,3,2,3,2,1,4,4,4,1,2,2,3,2,3,4,4,1,1,4,4,1,1,2,3,2,1977,4
16331,1,2,3,4,1,2,3,1,4,1,1,2,3,3,2,2,3,2,2,3,3,2,2,1,4,2,1966,5
16331,3,2,3,2,3,2,3,3,2,3,3,1,4,3,2,2,2,3,2,3,4,2,2,3,2,2,1974,5
16331,1,2,3,4,1,2,3,2,1,4,1,4,1,4,1,2,4,1,3,2,3,2,4,1,4,2,1966,2
